code,name
BALCS,BACHELOR OF ARTS IN LITERARY AND CULTURAL STUDIES
BASOCIO,BACHELOR OF ARTS IN SOCIOLOGY
BETCET,BACHELOR OF ENGINEERING TECHNOLOGY IN CIVIL ENGINEERING TECHNOLOGY
BETCHET,BACHELOR OF ENGINEERING TECHNOLOGY IN CHEMICAL ENGINEERING TECHNOLOGY
BETELET,BACHELOR OF ENGINEERING TECHNOLOGY IN ELETRICAL ENGINEERING TECHNOLOGY
BETESET,BACHELOR OF ENGINEERING TECHNOLOGY IN ELECTRONICS ENGINEERING TECHNOLOGY
BETMET,BACHELOR OF ENGINEERING TECHNOLOGY IN MECHANICAL ENGINEERING TECHNOLOGY
BETMMT,BACHELOR OF ENGINEERING TECHNOLOGY IN METALLURGICAL ANG MATERIAL ENGINEERING TECHNOLOGY
BSBIO(MCB),BACHELOR OF SCIENCE IN BIOLOGY (MICROBIOLOGY)
BSCA,BACHELOR OF SCIENCE IN COMPUTER APPLICATIONS
BSCE,BACHELOR OF SCIENCE IN CIVIL ENGINEERING
BSCERE,BACHELOR OF SCIENCE IN CERAMICS ENGINEERING
BSCHE,BACHELOR OF SCIENCE IN CHEMICAL ENGINEERING
BSCPE,BACHELOR OF SCIENCE IN COMPUTER ENGINEERING
BSCS,BACHELOR OF SCIENCE IN COMPUTER SCIENCE
BSEE,BACHELOR OF SCIENCE IN ELETRICAL ENGINEERING
BSEM,BACHELOR OF SCIENCE IN MINING ENGINEERING
BSENE,BACHELOR OF SCIENCE IN ENVIRONMENTAL ENGINEERING
BSESE,BACHELOR OF SCIENCE IN ELECTRONICS ENGINEERING
BSHIS,BACHELOR OF SCIENCE IN HISTORY
BSIAM,BACHELOR OF SCIENCE IN INDUSTRIAL AUTOMATION AND MECHATRONICS
BSIS,BACHELOR OF SCIENCE IN INFORMATION SYSTEMS
BSIT,BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY
BSME,BACHELOR OF SCIENCE IN MECHANICAL ENGINEERING
BSMETE,BACHELOR OF SCIENCE IN METALLURGICAL ENGINEERING
BSN,BACHELOR OF SCIENCE IN NURSING
BSPSYCH,BACHELOR OF SCIENCE IN PSYCHOLOGY
